Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Canada,CAN,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.82593,..,..,..,..,9.85214,..,..,..,..,10.01024,..,..,..,..,10.45075,..,..,..,..,..,..,..,..,..,12.35385,..,..,..,..,12.95977,..,..,..,..,13.22261,..,..,..,..,13.37727,..,..,..,..,..,..,..,..
Canada,CAN,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.91321,..,..,..,..,10.02318,..,..,..,..,10.39922,..,..,..,..,10.81619,..,..,..,..,..,..,..,..,..,12.41921,..,..,..,..,13.01757,..,..,..,..,13.20592,..,..,..,..,13.25971,..,..,..,..,..,..,..,..
Canada,CAN,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.86984,..,..,..,..,9.93114,..,..,..,..,10.19758,..,..,..,..,10.62492,..,..,..,..,..,..,..,..,..,12.37847,..,..,..,..,12.9859,..,..,..,..,13.21356,..,..,..,..,13.32034,..,..,..,..,..,..,..,..
Afghanistan,AFG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21344,..,..,..,0.15769,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.18291,..,..,..,1.48672,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.74643,..,..,..,0.83322,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.17181,..,..,..,..,..,..,8.68114,..,..,9.4937,9.94807,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.32291,..,..,..,..,..,..,9.70867,..,..,10.33097,10.36471,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.74141,..,..,..,..,..,..,9.16803,..,..,9.90485,10.14573,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,0.24305,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.57359,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
