Year,Country Code,Gini_coefficient
2000-01-01,AGO,51.9
2001-01-01,AGO,51.9
2002-01-01,AGO,51.9
2003-01-01,AGO,51.9
2004-01-01,AGO,51.9
2005-01-01,AGO,51.9
2006-01-01,AGO,51.9
2007-01-01,AGO,51.9
2008-01-01,AGO,42.7
2009-01-01,AGO,42.7
2010-01-01,AGO,42.7
2011-01-01,AGO,42.7
2012-01-01,AGO,42.7
2013-01-01,AGO,42.7
2014-01-01,AGO,42.7
2015-01-01,AGO,42.7
2016-01-01,AGO,42.7
2017-01-01,AGO,42.7
2018-01-01,AGO,51.3
2019-01-01,AGO,51.3
2020-01-01,AGO,51.3
2021-01-01,AGO,51.3
2022-01-01,AGO,51.3
2023-01-01,AGO,51.3
1996-01-01,ALB,27.0
1997-01-01,ALB,27.0
1998-01-01,ALB,27.0
1999-01-01,ALB,27.0
2000-01-01,ALB,27.0
2001-01-01,ALB,27.0
2002-01-01,ALB,31.7
2003-01-01,ALB,31.7
2004-01-01,ALB,31.7
2005-01-01,ALB,30.6
2006-01-01,ALB,30.6
2007-01-01,ALB,30.6
2008-01-01,ALB,30.0
2009-01-01,ALB,30.0
2010-01-01,ALB,30.0
2011-01-01,ALB,30.0
2012-01-01,ALB,29.0
2013-01-01,ALB,29.0
2014-01-01,ALB,34.6
2015-01-01,ALB,32.8
2016-01-01,ALB,33.7
2017-01-01,ALB,33.1
2018-01-01,ALB,30.1
2019-01-01,ALB,30.1
2020-01-01,ALB,29.4
2021-01-01,ALB,29.4
2022-01-01,ALB,29.4
2023-01-01,ALB,29.4
2013-01-01,ARE,32.5
2014-01-01,ARE,32.5
2015-01-01,ARE,32.5
2016-01-01,ARE,32.5
2017-01-01,ARE,32.5
2018-01-01,ARE,26.4
2019-01-01,ARE,26.4
2020-01-01,ARE,26.4
2021-01-01,ARE,26.4
2022-01-01,ARE,26.4
2023-01-01,ARE,26.4
1980-01-01,ARG,40.8
1981-01-01,ARG,40.8
1982-01-01,ARG,40.8
1983-01-01,ARG,40.8
1984-01-01,ARG,40.8
1985-01-01,ARG,40.8
1986-01-01,ARG,42.8
1987-01-01,ARG,45.3
1988-01-01,ARG,45.3
1989-01-01,ARG,45.3
1990-01-01,ARG,45.3
1991-01-01,ARG,46.8
1992-01-01,ARG,45.5
1993-01-01,ARG,44.8
1994-01-01,ARG,45.9
1995-01-01,ARG,48.9
1996-01-01,ARG,49.5
1997-01-01,ARG,49.1
1998-01-01,ARG,50.7
1999-01-01,ARG,49.8
2000-01-01,ARG,51.0
2001-01-01,ARG,53.3
2002-01-01,ARG,53.8
2003-01-01,ARG,51.0
2004-01-01,ARG,48.5
2005-01-01,ARG,47.8
2006-01-01,ARG,46.4
2007-01-01,ARG,46.3
2008-01-01,ARG,45.0
2009-01-01,ARG,43.8
2010-01-01,ARG,43.7
2011-01-01,ARG,42.7
2012-01-01,ARG,41.4
2013-01-01,ARG,41.1
2014-01-01,ARG,41.8
2015-01-01,ARG,41.8
2016-01-01,ARG,42.3
2017-01-01,ARG,41.4
2018-01-01,ARG,41.7
2019-01-01,ARG,43.3
2020-01-01,ARG,42.7
2021-01-01,ARG,42.4
2022-01-01,ARG,40.7
2023-01-01,ARG,40.7
1999-01-01,ARM,36.2
2000-01-01,ARM,36.2
2001-01-01,ARM,35.4
2002-01-01,ARM,34.8
2003-01-01,ARM,33.0
2004-01-01,ARM,37.5
2005-01-01,ARM,36.0
2006-01-01,ARM,29.7
2007-01-01,ARM,31.2
2008-01-01,ARM,29.2
2009-01-01,ARM,28.0
2010-01-01,ARM,30.0
2011-01-01,ARM,29.4
2012-01-01,ARM,29.6
2013-01-01,ARM,30.6
2014-01-01,ARM,31.5
2015-01-01,ARM,32.4
2016-01-01,ARM,32.5
2017-01-01,ARM,33.6
2018-01-01,ARM,34.4
2019-01-01,ARM,30.0
2020-01-01,ARM,25.1
2021-01-01,ARM,27.9
2022-01-01,ARM,27.9
2023-01-01,ARM,27.9
1981-01-01,AUS,31.3
1982-01-01,AUS,31.3
1983-01-01,AUS,31.3
1984-01-01,AUS,31.3
1985-01-01,AUS,32.5
1986-01-01,AUS,32.5
1987-01-01,AUS,32.5
1988-01-01,AUS,32.5
1989-01-01,AUS,33.2
1990-01-01,AUS,33.2
1991-01-01,AUS,33.2
1992-01-01,AUS,33.2
1993-01-01,AUS,33.2
1994-01-01,AUS,33.2
1995-01-01,AUS,32.6
1996-01-01,AUS,32.6
1997-01-01,AUS,32.6
1998-01-01,AUS,32.6
1999-01-01,AUS,32.6
2000-01-01,AUS,31.7
2001-01-01,AUS,33.5
2002-01-01,AUS,33.5
2003-01-01,AUS,33.5
2004-01-01,AUS,33.1
2005-01-01,AUS,33.1
2006-01-01,AUS,33.1
2007-01-01,AUS,33.1
2008-01-01,AUS,35.4
2009-01-01,AUS,35.4
2010-01-01,AUS,34.7
2011-01-01,AUS,34.7
2012-01-01,AUS,33.5
2013-01-01,AUS,33.5
2014-01-01,AUS,34.4
2015-01-01,AUS,34.4
2016-01-01,AUS,33.7
2017-01-01,AUS,33.7
2018-01-01,AUS,34.3
2019-01-01,AUS,34.3
2020-01-01,AUS,31.8
2021-01-01,AUS,31.8
2022-01-01,AUS,31.8
2023-01-01,AUS,31.8
1994-01-01,AUT,30.8
1995-01-01,AUT,29.9
1996-01-01,AUT,29.3
1997-01-01,AUT,29.1
1998-01-01,AUT,31.3
1999-01-01,AUT,29.7
2000-01-01,AUT,29.0
2001-01-01,AUT,29.0
2002-01-01,AUT,29.0
2003-01-01,AUT,29.5
2004-01-01,AUT,29.8
2005-01-01,AUT,28.7
2006-01-01,AUT,29.6
2007-01-01,AUT,30.6
2008-01-01,AUT,30.4
2009-01-01,AUT,31.5
2010-01-01,AUT,30.3
2011-01-01,AUT,30.8
2012-01-01,AUT,30.5
2013-01-01,AUT,30.8
2014-01-01,AUT,30.5
2015-01-01,AUT,30.5
2016-01-01,AUT,30.8
2017-01-01,AUT,29.7
2018-01-01,AUT,30.8
2019-01-01,AUT,30.2
2020-01-01,AUT,29.8
2021-01-01,AUT,30.7
2022-01-01,AUT,30.7
2023-01-01,AUT,30.7
1995-01-01,AZE,34.6
1996-01-01,AZE,34.6
1997-01-01,AZE,34.6
1998-01-01,AZE,34.6
1999-01-01,AZE,34.6
2000-01-01,AZE,34.6
2001-01-01,AZE,36.5
2002-01-01,AZE,25.3
2003-01-01,AZE,26.8
2004-01-01,AZE,26.6
2005-01-01,AZE,26.6
2006-01-01,AZE,26.6
2007-01-01,AZE,26.6
2008-01-01,AZE,26.6
2009-01-01,AZE,26.6
2010-01-01,AZE,26.6
2011-01-01,AZE,26.6
2012-01-01,AZE,26.6
2013-01-01,AZE,26.6
2014-01-01,AZE,26.6
2015-01-01,AZE,26.6
2016-01-01,AZE,26.6
2017-01-01,AZE,26.6
2018-01-01,AZE,26.6
2019-01-01,AZE,26.6
2020-01-01,AZE,26.6
2021-01-01,AZE,26.6
2022-01-01,AZE,26.6
2023-01-01,AZE,26.6
1992-01-01,BDI,33.3
1993-01-01,BDI,33.3
1994-01-01,BDI,33.3
1995-01-01,BDI,33.3
1996-01-01,BDI,33.3
1997-01-01,BDI,33.3
1998-01-01,BDI,42.1
1999-01-01,BDI,42.1
2000-01-01,BDI,42.1
2001-01-01,BDI,42.1
2002-01-01,BDI,42.1
2003-01-01,BDI,42.1
2004-01-01,BDI,42.1
2005-01-01,BDI,42.1
2006-01-01,BDI,33.4
2007-01-01,BDI,33.4
2008-01-01,BDI,33.4
2009-01-01,BDI,33.4
2010-01-01,BDI,33.4
2011-01-01,BDI,33.4
2012-01-01,BDI,33.4
2013-01-01,BDI,38.6
2014-01-01,BDI,38.6
2015-01-01,BDI,38.6
2016-01-01,BDI,38.6
2017-01-01,BDI,38.6
2018-01-01,BDI,38.6
2019-01-01,BDI,38.6
2020-01-01,BDI,37.5
