State,Date,New Deaths,Historic Deaths
United States,Mar 27 2022,47,0
United States,Mar 26 2022,129,0
United States,Mar 25 2022,739,0
United States,Mar 24 2022,862,0
United States,Mar 23 2022,1274,0
United States,Mar 22 2022,920,0
United States,Mar 21 2022,860,0
United States,Mar 20 2022,99,0
United States,Mar 19 2022,164,0
United States,Mar 18 2022,960,0
United States,Mar 17 2022,1054,0
United States,Mar 16 2022,1503,0
United States,Mar 15 2022,1399,0
United States,Mar 14 2022,1310,-3779
United States,Mar 13 2022,162,0
United States,Mar 12 2022,521,0
United States,Mar 11 2022,1404,0
United States,Mar 10 2022,1219,0
United States,Mar  9 2022,1924,0
United States,Mar  8 2022,1692,0
United States,Mar  7 2022,1478,0
United States,Mar  6 2022,318,0
United States,Mar  5 2022,319,0
United States,Mar  4 2022,1517,0
United States,Mar  3 2022,1284,0
United States,Mar  2 2022,1734,-238
United States,Mar  1 2022,1933,0
United States,Feb 28 2022,2156,0
United States,Feb 27 2022,320,0
United States,Feb 26 2022,525,0
United States,Feb 25 2022,2301,0
United States,Feb 24 2022,2423,0
United States,Feb 23 2022,2564,0
United States,Feb 22 2022,3241,0
United States,Feb 21 2022,1072,0
United States,Feb 20 2022,534,0
United States,Feb 19 2022,715,0
United States,Feb 18 2022,2266,0
United States,Feb 17 2022,2253,0
United States,Feb 16 2022,2625,0
United States,Feb 15 2022,3004,362
United States,Feb 14 2022,2898,0
United States,Feb 13 2022,674,0
United States,Feb 12 2022,967,0
United States,Feb 11 2022,2850,0
United States,Feb 10 2022,2544,0
United States,Feb  9 2022,2967,0
United States,Feb  8 2022,3767,0
United States,Feb  7 2022,3235,0
United States,Feb  6 2022,664,0
United States,Feb  5 2022,1200,0
United States,Feb  4 2022,3355,0
United States,Feb  3 2022,2699,0
United States,Feb  2 2022,3169,0
United States,Feb  1 2022,4172,0
United States,Jan 31 2022,2645,71
United States,Jan 30 2022,897,0
United States,Jan 29 2022,1504,0
United States,Jan 28 2022,3457,121
