Downloaded from wid.world on 01-11-2024 at 10:40:53
Percentile ;Year ;"sptinc_z_SG
Pre-tax national income 
Bottom 50% | share | adults | equal split
Singapore";"gptinc_z_SG
Pre-tax national income 
P0-100 | Gini coefficient | adults | equal split
Singapore"
p0p50;1969;0.2257;
p0p50;1970;0.219;
p0p50;1971;0.2203;
p0p50;1972;0.2158;
p0p50;1973;0.2175;
p0p50;1974;0.218;
p0p50;1975;0.2143;
p0p50;1976;0.2145;
p0p50;1977;0.2187;
p0p50;1978;0.2128;
p0p50;1979;0.2027;
p0p50;1980;0.2114;
p0p50;1981;0.2112;
p0p50;1982;0.207;
p0p50;1983;0.211;
p0p50;1984;0.2132;
p0p50;1985;0.2046;
p0p50;1986;0.2073;
p0p50;1987;0.1977;
p0p50;1988;0.2052;
p0p50;1989;0.2028;
p0p50;1990;0.2013;
p0p50;1991;0.2093;
p0p50;1992;0.2111;
p0p50;1993;0.2113;
p0p50;1994;0.2203;
p0p50;1995;0.2205;
p0p50;1996;0.2051;
p0p50;1997;0.205;
p0p50;1998;0.1967;
p0p50;1999;0.1832;
p0p50;2000;0.1787;
p0p50;2001;0.1635;
p0p50;2002;0.1655;
p0p50;2003;0.1714;
p0p50;2004;0.1808;
p0p50;2005;0.1869;
p0p50;2006;0.1804;
p0p50;2007;0.1834;
p0p50;2008;0.1658;
p0p50;2009;0.1728;
p0p50;2010;0.1773;
p0p50;2011;0.1713;
p0p50;2012;0.1715;
p0p50;2013;0.1702;
p0p50;2014;0.167;
p0p50;2015;0.1667;
p0p50;2016;0.1665;
p0p50;2017;0.1665;
p0p50;2018;0.1665;
p0p50;2019;0.1665;
p0p50;2020;0.1665;
p0p50;2021;0.1665;
p0p50;2022;0.1665;
p0p50;2023;0.1665;
p50p90;1969;0.4454;
p50p90;1970;0.4388;
p50p90;1971;0.4404;
p50p90;1972;0.4361;
p50p90;1973;0.436;
p50p90;1974;0.439;
p50p90;1975;0.4357;
p50p90;1976;0.4365;
p50p90;1977;0.4414;
p50p90;1978;0.4356;
p50p90;1979;0.423;
p50p90;1980;0.4333;
p50p90;1981;0.4327;
p50p90;1982;0.428;
p50p90;1983;0.4329;
p50p90;1984;0.4358;
p50p90;1985;0.4258;
p50p90;1986;0.4299;
p50p90;1987;0.4171;
p50p90;1988;0.4269;
p50p90;1989;0.4229;
p50p90;1990;0.4221;
p50p90;1991;0.4323;
p50p90;1992;0.4344;
p50p90;1993;0.4346;
p50p90;1994;0.4437;
p50p90;1995;0.445;
p50p90;1996;0.4438;
p50p90;1997;0.4434;
p50p90;1998;0.433;
p50p90;1999;0.4113;
p50p90;2000;0.4015;
p50p90;2001;0.3725;
p50p90;2002;0.373;
p50p90;2003;0.3815;
p50p90;2004;0.3943;
p50p90;2005;0.3964;
p50p90;2006;0.39;
p50p90;2007;0.3973;
p50p90;2008;0.3667;
p50p90;2009;0.3792;
p50p90;2010;0.3891;
p50p90;2011;0.3775;
p50p90;2012;0.3788;
p50p90;2013;0.3772;
p50p90;2014;0.3712;
p50p90;2015;0.3709;
p50p90;2016;0.3707;
p50p90;2017;0.3707;
p50p90;2018;0.3707;
p50p90;2019;0.3707;
p50p90;2020;0.3707;
p50p90;2021;0.3707;
p50p90;2022;0.3707;
p50p90;2023;0.3707;
p90p100;1969;0.3289;
p90p100;1970;0.3422;
p90p100;1971;0.3393;
p90p100;1972;0.3481;
p90p100;1973;0.3465;
p90p100;1974;0.3431;
p90p100;1975;0.35;
p90p100;1976;0.3489;
p90p100;1977;0.34;
p90p100;1978;0.3516;
p90p100;1979;0.3743;
p90p100;1980;0.3553;
p90p100;1981;0.3561;
p90p100;1982;0.3649;
p90p100;1983;0.356;
p90p100;1984;0.3509;
p90p100;1985;0.3696;
p90p100;1986;0.3628;
p90p100;1987;0.3853;
p90p100;1988;0.3679;
p90p100;1989;0.3743;
p90p100;1990;0.3766;
p90p100;1991;0.3584;
p90p100;1992;0.3545;
p90p100;1993;0.3541;
p90p100;1994;0.336;
p90p100;1995;0.3345;
p90p100;1996;0.3511;
p90p100;1997;0.3516;
p90p100;1998;0.3704;
p90p100;1999;0.4055;
p90p100;2000;0.4199;
p90p100;2001;0.464;
p90p100;2002;0.4615;
p90p100;2003;0.4471;
p90p100;2004;0.425;
p90p100;2005;0.4167;
p90p100;2006;0.4296;
p90p100;2007;0.4193;
p90p100;2008;0.4674;
p90p100;2009;0.448;
p90p100;2010;0.4336;
p90p100;2011;0.4512;
p90p100;2012;0.4497;
p90p100;2013;0.4526;
p90p100;2014;0.4617;
p90p100;2015;0.4624;
p90p100;2016;0.4628;
p90p100;2017;0.4628;
p90p100;2018;0.4628;
p90p100;2019;0.4628;
p90p100;2020;0.4628;
p90p100;2021;0.4628;
p90p100;2022;0.4628;
p90p100;2023;0.4628;
p99p100;1969;0.1027;
p99p100;1970;0.1086;
p99p100;1971;0.1066;
p99p100;1972;0.1095;
p99p100;1973;0.1135;
p99p100;1974;0.1058;
p99p100;1975;0.1068;
p99p100;1976;0.1049;
p99p100;1977;0.1003;
p99p100;1978;0.103;
p99p100;1979;0.1116;
p99p100;1980;0.1064;
p99p100;1981;0.108;
p99p100;1982;0.1099;
p99p100;1983;0.1065;
p99p100;1984;0.1037;
p99p100;1985;0.1086;
p99p100;1986;0.1045;
p99p100;1987;0.1145;
p99p100;1988;0.1065;
p99p100;1989;0.1115;
p99p100;1990;0.1094;
p99p100;1991;0.1009;
p99p100;1992;0.1046;
p99p100;1993;0.1072;
p99p100;1994;0.1022;
p99p100;1995;0.1004;
p99p100;1996;0.1016;
p99p100;1997;0.1048;
p99p100;1998;0.1126;
p99p100;1999;0.1295;
p99p100;2000;0.1344;
p99p100;2001;0.1525;
p99p100;2002;0.1525;
p99p100;2003;0.1443;
p99p100;2004;0.1381;
p99p100;2005;0.1382;
p99p100;2006;0.1445;
p99p100;2007;0.1428;
p99p100;2008;0.1535;
p99p100;2009;0.1385;
p99p100;2010;0.1359;
p99p100;2011;0.1404;
p99p100;2012;0.1376;
p99p100;2013;0.1376;
p99p100;2014;0.1421;
p99p100;2015;0.1421;
p99p100;2016;0.1421;
p99p100;2017;0.1421;
p99p100;2018;0.1421;
p99p100;2019;0.1421;
p99p100;2020;0.1421;
p99p100;2021;0.1421;
p99p100;2022;0.1421;
p99p100;2023;0.1421;
p0p100;1969;;0.4284031484931186
p0p100;1970;;0.4410210841955085
p0p100;1971;;0.4383797386195099
p0p100;1972;;0.4467452900903126
p0p100;1973;;0.444754031613122
p0p100;1974;;0.4422791970357607
p0p100;1975;;0.4489156559222331
p0p100;1976;;0.4480266618952784
